                                                                                
                   Payroll Listing                9/24/2017                    
                                                                                
EMP. NO. EMPLOYEE NAME        TERR NO.  DIST NO.  ANNUAL SALARY                 
                                                                                
    1    ADAMSON                  1         41      $ 40,000                    
    2    BAKER                    1         41      $ 50,000                    
                        Total District  41  $   90,000                          
                                                                                
    3    CARTWELL                 1         42      $100,000                    
    4    DORSEY                   1         42      $ 45,000                    
    5    HAMMOND                  1         42      $ 50,000                    
                        Total District  42  $  195,000                          
                                                                                
    6    NOLTE                    1         43      $ 45,000                    
                        Total District  43  $   45,000                          
                                                                                
                        Total Territory  1  $  330,000                          
                                                                                
    7    REDFORD                  2         51      $ 48,000                    
    8    JOHNKE                   2         51      $ 55,000                    
    9    WHITE                    2         51      $ 59,000                    
                        Total District  51  $  162,000                          
                                                                                
   10    MARSHALL                 2         52      $ 53,000                    
   11    ROBINSON                 2         52      $ 72,000                    
                        Total District  52  $  125,000                          
                                                                                
                        Total Territory  2  $  287,000                          
                                                                                
   12    MADISON                  3         61      $ 76,000                    
   13    MONROE                   3         61      $630,000                    
                        Total District  61  $  706,000                          
                                                                                
   14    GRUBER                   3         62      $145,000                    
   15    CAIRO                    3         62      $265,000                    
                        Total District  62  $  410,000                          
                                                                                
   16    NEEDY                    3         63      $ 79,000                    
                        Total District  63  $   79,000                          
                                                                                
                        Total Territory  3  $1,195,000                          
                                                                                
   17    GABLES                   4         71      $ 71,000                    
   18    MCCLANE                  4         71      $ 91,000                    
                        Total District  71  $  162,000                          
                                                                                
   19    ROCCO                    4         72      $ 87,000                    
   20    BARTLETT                 4         72      $ 68,000                    
                        Total District  72  $  155,000                          
                                                                                
                        Total Territory  4  $  317,000                          
                                                                                
